       33       84        3     0.5639427956E-03
       34       86        3     0.6871124133E-03
       35       90        3     0.7839905739E-03
       36       94        3     0.8780155389E-03
       37       96        3     0.9533681076E-03
       38       98        3     0.1026932810E-02
       39      100        3     0.1112969979E-02
       40      104        3     0.1186764755E-02
       41      890       17     0.1451465782E-04
       42      894       17     0.1695655825E-04
       43      898       17     0.1819569781E-04
       44      900       17     0.1904885053E-04
       45      904       17     0.1915389020E-04
       46     1024       20     0.2012672964E-05
       47     1024       20     0.2732358703E-05
       48     1028       20     0.3322100424E-05
       20       12        2     0.2057054403E-07
       21       18        2     0.1502709687E-07
       22       26        2     0.2264124320E-06
       23       30        2     0.1577997706E-05
       24       36        2     0.4495582974E-05
       25       40        2     0.8525244778E-05
       26       42        2     0.1491316981E-04
       27       44        2     0.2063272272E-04
       28       46        2     0.2866266812E-04
       29       50        2     0.3626843538E-04
       30       50        2     0.4570712282E-04
       31       52        2     0.5628486910E-04
       32       54        2     0.6265831127E-04
       33       56        2     0.7945760080E-04
       34       60        2     0.8778793057E-04
       35       60        2     0.9629685747E-04
       36       64        2     0.1118126626E-03
       37       68        2     0.1176140389E-03
       38       80        3     0.1078662935E-03
       39       94        3     0.5600768848E-04
       40       96        3     0.3760824374E-04
       41      100        3     0.2704255879E-04
       42      102        3     0.2015253865E-04
       43      104        3     0.1794712096E-04
       44      106        3     0.1434209931E-04
       45      108        3     0.1210844545E-04
       46      112        3     0.1021633250E-04
       47      112        3     0.9709168608E-05
       48      116        3     0.7883149981E-05
       49     1156       23     0.6710146849E-05
       40        8        1     0.1185882898E-04
       41       14        1     0.3529534391E-04
       19       18        1     0.1326260031E-04
       20       26        1     0.2840920605E-04
       21       34        1     0.4768675920E-04
       22       38        1     0.6841668136E-04
       23       42        1     0.9474433387E-04
       24       46        1     0.1184499487E-03
       25       50        1     0.1478528046E-03
       26       50        1     0.1720822625E-03
       27       52        1     0.2028366904E-03
       28       56        1     0.2417648850E-03
       29       58        1     0.2788096764E-03
       30       60        1     0.3098935164E-03
       31       62        1     0.3559990398E-03
       32       64        1     0.3943730072E-03
       33       66        1     0.4298295600E-03
       34       68        1     0.4664185865E-03
       35       68        1     0.5080876477E-03
       36       70        1     0.5358920977E-03
       37       72        1     0.5663137277E-03
       38       72        1     0.5936429125E-03
       39       76        1     0.6173304461E-03
       40       78        1     0.6445064668E-03
       41       78        1     0.6568367451E-03
       42      106        2     0.5136045775E-03
